10:57:43.956 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
10:57:43.975 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
10:57:43.988 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
10:57:43.988 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
10:57:43.988 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_0000025C (PID-specific).
10:57:43.988 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_0000025C (PID-specific) has no value.
10:57:43.988 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
10:57:44.080 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=96ms
10:57:44.080 |V| JetEnvironment                | :1                 | HostInit phase completed.
10:57:44.080 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
10:57:44.095 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Jester42\Desktop\VR_AgroBot\Library\RiderFlow\2023.1.0.21\Backend~\bin.
10:57:44.112 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Jester42\Desktop\VR_AgroBot\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
