10:57:51.153 |I| Core                           | RequestBuilder thread:6        | MsBuild process with Id = 10576
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | MsBuild location = C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\MSBuild.exe
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | ServerGC = False
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | 
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | Start ControllerTask...
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | Detected version: 16.11
10:57:51.153 |I| Core                           | RequestBuilder thread:6        | Creating SocketWire with port = 59856
10:57:51.176 |I| Core                           | RequestBuilder thread:6        | Create protocol...
10:57:51.215 |I| Core                           | RequestBuilder thread:6        | Create MsBuildModel and advise for new sessions...
10:57:51.247 |I| Core                           | RequestBuilder thread:6        | Subscribe for changes...
10:57:51.247 |I| Core                           | RequestBuilder thread:6        | Setup process watchdog...
10:57:51.247 |I| Core                           | RequestBuilder thread:6        | Run dispatcher...
10:57:51.253 |I| ProcessWatchdog                | WatchParentPid:604:11          | Monitoring parent process PID:604
10:57:51.305 |I| Core                           | RequestBuilder thread:6        | Get protocol session 'RdProjectModelSession'
10:57:51.313 |I| Core                           | RequestBuilder thread:6        | Msbuild session 'ProjectModelSessionHost' created
10:57:51.403 |I| ProjectModel                   | RequestBuilder thread:6        | Reloading 67 project(s) in 1 node(s)...
10:57:51.403 |I| ProjectModel                   | RequestBuilder thread:6        | Reason: WarmStartup
10:57:51.413 |I| Build                          | :10                            | Build started.
10:57:51.423 |I| BuildQueue                     | RequestBuilder thread:6        | Build queue: False
10:57:52.625 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.Performance.Profile-Analyzer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.633 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.Performance.Profile-Analyzer.Editor.csproj
10:57:52.633 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.Performance.Profile-Analyzer.Editor.csproj' with 1 target frameworks
10:57:52.638 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.643 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.643 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj
10:57:52.643 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj' with 1 target frameworks
10:57:52.643 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.643 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.SpatialTracking.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.643 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.SpatialTracking.csproj
10:57:52.643 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.SpatialTracking.csproj' with 1 target frameworks
10:57:52.643 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.643 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.SpatialTracking.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.643 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.SpatialTracking.Player.csproj
10:57:52.643 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.SpatialTracking.Player.csproj' with 1 target frameworks
10:57:52.653 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.654 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.XR.Hands.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.654 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.XR.Hands.csproj
10:57:52.654 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.XR.Hands.csproj' with 1 target frameworks
10:57:52.656 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.656 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.XR.Management.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.656 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.XR.Management.Editor.csproj
10:57:52.656 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.XR.Management.Editor.csproj' with 1 target frameworks
10:57:52.658 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.659 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.UI.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.659 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.UI.Player.csproj
10:57:52.659 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.UI.Player.csproj' with 1 target frameworks
10:57:52.660 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.661 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.UI.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.661 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.UI.csproj
10:57:52.661 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.UI.csproj' with 1 target frameworks
10:57:52.663 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.663 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VSCode.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.663 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VSCode.Editor.csproj
10:57:52.663 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VSCode.Editor.csproj' with 1 target frameworks
10:57:52.666 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.666 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.InputSystem.TestFramework.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.666 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.InputSystem.TestFramework.csproj
10:57:52.667 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.InputSystem.TestFramework.csproj' with 1 target frameworks
10:57:52.668 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.668 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.TestRunner.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.668 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.TestRunner.Player.csproj
10:57:52.668 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.TestRunner.Player.csproj' with 1 target frameworks
