10:32:27.826 |I| Launcher                       | :1                             | Checking if build hasn't expired.
10:32:27.838 |I| Launcher                       | :1                             | Starting RiderFlow frontend
10:32:27.846 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
10:32:27.849 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
10:32:28.002 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
10:32:28.003 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 61506
10:32:28.004 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:38 | ServerSocket-UnityServer : accepting, port: 61506
10:32:32.258 |I| Launcher                       | :1                             | Creating Root ScriptableObject
10:32:32.260 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Didn't find 'analytics' in C:\Users\Jester42\AppData\Roaming\RiderFlow. Creating new 'analytics' file.
10:32:32.260 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Generated new uuid. Saved it to 'analytics' in C:\Users\Jester42\AppData\Roaming\RiderFlow.
10:32:32.261 |I| Launcher                       | :1                             | Subscribing for events
10:33:13.598 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
10:33:13.617 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
10:33:13.827 |V| Launcher                       | :1                             | Ready!
10:37:34.905 |I| Launcher                       | :1                             | Start running backend
10:37:55.934 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:38 | ServerSocket-UnityServer : accepted
10:37:55.935 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:38 | ServerSocket-UnityServer : connected
10:37:55.936 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:38 | RESUME :: state=AsyncProcessing
